java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getJiraIssues(Document),3,27,4,17,7,9,6,6,6,9,12,7,5,3,3,3,1,0,0,2,0,0.35
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getKey(),2,1,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getNextChild(Element#commaString#commaint),4,12,2,10,3,4,0,4,4,3,5,2,3,2,2,2,1,0,0,1,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getOptionalChild(Element#commaString),4,5,0,5,2,1,0,3,3,1,2,1,1,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getPamphlet(),5,1,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getPreviousReleaseID(GeneratorState),6,18,2,11,4,5,5,6,6,4,6,3,3,2,2,2,1,0,0,1,0,0.45
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getReleaseID(GeneratorState),7,18,2,11,4,5,5,6,6,4,6,3,3,2,2,2,1,0,0,1,0,0.45
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getSection(Document#commaint#commaString),6,28,4,18,8,10,6,10,10,10,13,8,5,3,3,3,3,3,3,2,3,0.33
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getSummary(),3,1,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!getTitle(),2,1,0,1,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!initialize(),3,24,1,18,9,14,5,6,6,8,9,8,1,1,1,1,1,0,0,0,0,0.28
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!insertColumn(Element),4,15,2,8,4,4,5,4,4,4,5,3,2,1,1,1,1,0,0,0,0,0.62
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!insertLine(Element),2,15,2,8,4,4,5,4,4,4,5,3,2,1,1,1,1,0,0,0,0,0.62
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!insertRow(Element),4,15,2,8,4,4,5,4,4,4,5,3,2,1,1,1,1,0,0,0,0,0.62
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!JiraIssue(String#commaString),3,9,0,9,5,2,0,3,3,2,3,1,2,1,1,1,1,0,0,0,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!main(String[]),1,16,2,8,3,4,6,4,4,4,6,2,4,2,2,2,1,1,0,1,0,0.75
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!makeHeaderTag(int),3,9,0,4,1,1,5,2,2,1,2,1,1,1,1,1,1,0,0,0,0,1.25
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!makeJiraIssue(Element),7,79,6,55,9,37,18,12,12,22,33,9,24,11,11,15,11,24,24,4,24,0.33
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!parseArgs(String[]),3,18,3,10,3,6,5,4,4,6,8,2,6,2,2,3,1,1,0,1,0,0.5
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!printErrors(GeneratorState),3,23,3,15,5,7,5,2,2,7,10,5,5,3,3,3,1,0,0,2,0,0.33
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!println(String),6,11,0,11,1,4,0,2,2,2,4,1,3,2,2,2,1,1,0,1,0,0
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!printPamphlet(GeneratorState),3,16,1,10,7,6,5,4,4,6,7,6,1,1,1,1,1,0,0,0,0,0.5
java/build/org/apache/derbyBuild/ChangesFileGenerator.java!printUsage(),2,4,0,4,1,1,0,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0
